gene.name	score
FJX1	15.5921534359579
TET3	15.5885790702665
RPF2	15.5781560556252
NADK	15.5718219119392
SZRD1	15.5650161472736
ZNF317	15.5560342965144
MOB1B	15.5554264576422
PTGFRN	15.5391842004186
CSNK1G1	15.5323592325717
GOPC	15.5239484245278
MLF1	15.5231402804589
SOD2	15.5217390762138
RBM25	15.5185339392013
YWHAZ	15.5119023066553
PTPRG	15.499428122256
OTUD4	15.4756609667536
HBS1L	15.4622807556197
PHTF2	15.4441846063919
SACS	15.4425188149207
MFF	15.4362769829282
PSAT1	15.4352851457546
PHAX	15.4226111815767
WDR26	15.3754965727393
GATAD2B	15.373388159456
TRAPPC10	15.3714297348997
PPP4R2	15.366728514095
MDM4	15.3453701159457
